Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Jodie Meeks (11492277) (LOCKED),Jodie Meeks,11492277,SG/G/UTIL,3000,In Progress,MIL,0
SG,Jaylen Morris (11492280) (LOCKED),Jaylen Morris,11492280,SG/G/UTIL,3000,In Progress,MIL,0
PG,Trevon Duval (11492283) (LOCKED),Trevon Duval,11492283,PG/G/UTIL,3000,In Progress,MIL,0
SG,Sterling Brown (11492286) (LOCKED),Sterling Brown,11492286,SG/G/UTIL,3000,In Progress,MIL,2
C,Christian Wood (11492289) (LOCKED),Christian Wood,11492289,C/UTIL,3000,In Progress,MIL,3.25
PF,D.J. Wilson (11492291) (LOCKED),D.J. Wilson,11492291,PF/F/UTIL,3000,In Progress,MIL,0
SF,Keita Bates-Diop (11492294) (LOCKED),Keita Bates-Diop,11492294,SF/F/UTIL,3000,In Progress,MIN,0
PG,Jared Terrell (11492297) (LOCKED),Jared Terrell,11492297,PG/G/UTIL,3000,In Progress,MIN,0
C,Justin Patton (11492300) (LOCKED),Justin Patton,11492300,C/UTIL,3000,In Progress,MIN,0
SF/PF,Luol Deng (11492302) (LOCKED),Luol Deng,11492302,SF/PF/F/UTIL,3000,In Progress,MIN,0
SG/SF,C.J. Williams (11492306) (LOCKED),C.J. Williams,11492306,SG/SF/F/G/UTIL,3000,In Progress,MIN,-1
SG/SF,James Nunnally (11492311) (LOCKED),James Nunnally,11492311,SG/SF/F/G/UTIL,3000,In Progress,MIN,0
SG,CJ Wilcox (11492316) (LOCKED),CJ Wilcox,11492316,SG/G/UTIL,3000,In Progress,IND,0
PG,Edmond Sumner (11492319) (LOCKED),Edmond Sumner,11492319,PG/G/UTIL,3000,In Progress,IND,1.17
PF/C,Ike Anigbogu (11492322) (LOCKED),Ike Anigbogu,11492322,PF/C/F/UTIL,3000,In Progress,IND,2.75
PF,Alize Johnson (11492326) (LOCKED),Alize Johnson,11492326,PF/F/UTIL,3000,In Progress,IND,3.5
PF,Ben Moore (11492329) (LOCKED),Ben Moore,11492329,PF/F/UTIL,3000,In Progress,IND,0
PG/SG,Jordan McRae (11492332),Jordan McRae,11492332,PG/SG/G/UTIL,3000,WAS@POR 10/22/2018 10:00PM ET,WAS,0
SG,Devin Robinson (11492336),Devin Robinson,11492336,SG/G/UTIL,3000,WAS@POR 10/22/2018 10:00PM ET,WAS,0
SF,Troy Brown (11492339),Troy Brown,11492339,SF/F/UTIL,3000,WAS@POR 10/22/2018 10:00PM ET,WAS,0
PG,Wade Baldwin IV (11492342),Wade Baldwin IV,11492342,PG/G/UTIL,3000,WAS@POR 10/22/2018 10:00PM ET,POR,1.5
SG,Gary Trent Jr. (11492345),Gary Trent Jr.,11492345,SG/G/UTIL,3000,WAS@POR 10/22/2018 10:00PM ET,POR,0
SG,Anfernee Simons (11492348),Anfernee Simons,11492348,SG/G/UTIL,3000,WAS@POR 10/22/2018 10:00PM ET,POR,0
SF,George King (11492351),George King,11492351,SF/F/UTIL,3000,PHO@GS 10/22/2018 10:30PM ET,PHO,0
