Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Lance Stephenson (11532660),Lance Stephenson,11532660,PG/SG/G/UTIL,4300,LAL@MIN 10/29/2018 08:00PM ET,LAL,24.67
SF/PF,Trey Lyles (11532664),Trey Lyles,11532664,SF/PF/F/UTIL,4300,NO@DEN 10/29/2018 09:00PM ET,DEN,18.05
PG/SG,J.J. Barea (11532668),J.J. Barea,11532668,PG/SG/G/UTIL,4300,DAL@SA 10/29/2018 08:30PM ET,DAL,22.17
C,Brook Lopez (11532672),Brook Lopez,11532672,C/UTIL,4200,TOR@MIL 10/29/2018 08:00PM ET,MIL,22.29
SG,Josh Okogie (11532674),Josh Okogie,11532674,SG/G/UTIL,4200,LAL@MIN 10/29/2018 08:00PM ET,MIN,20
SF/PF,Justise Winslow (11532677),Justise Winslow,11532677,SF/PF/F/UTIL,4200,SAC@MIA 10/29/2018 07:30PM ET,MIA,26.25
PF/C,Noah Vonleh (11532681),Noah Vonleh,11532681,PF/C/F/UTIL,4200,BKN@NY 10/29/2018 07:30PM ET,NY,22.67
PG/SG,Markelle Fultz (11532685),Markelle Fultz,11532685,PG/SG/G/UTIL,4200,ATL@PHI 10/29/2018 07:00PM ET,PHI,21.04
PF,Maxi Kleber (11532689),Maxi Kleber,11532689,PF/F/UTIL,4200,DAL@SA 10/29/2018 08:30PM ET,DAL,19.33
PF/C,Ersan Ilyasova (11532692),Ersan Ilyasova,11532692,PF/C/F/UTIL,4100,TOR@MIL 10/29/2018 08:00PM ET,MIL,20.67
SG/SF,Evan Turner (11532696),Evan Turner,11532696,SG/SF/F/G/UTIL,4100,POR@IND 10/29/2018 07:00PM ET,POR,23.6
SG/SF,DeAndre' Bembry (11532701),DeAndre' Bembry,11532701,SG/SF/F/G/UTIL,4100,ATL@PHI 10/29/2018 07:00PM ET,ATL,24.85
SG/SF,Marco Belinelli (11532706),Marco Belinelli,11532706,SG/SF/F/G/UTIL,4100,DAL@SA 10/29/2018 08:30PM ET,SA,16.2
SG/SF,Denzel Valentine (11532711),Denzel Valentine,11532711,SG/SF/F/G/UTIL,4000,GS@CHI 10/29/2018 08:00PM ET,CHI,0
SG/SF,E'Twaun Moore (11532716),E'Twaun Moore,11532716,SG/SF/F/G/UTIL,4000,NO@DEN 10/29/2018 09:00PM ET,NO,21.55
PF/C,Bam Adebayo (11532721),Bam Adebayo,11532721,PF/C/F/UTIL,4000,SAC@MIA 10/29/2018 07:30PM ET,MIA,17.75
SF/PF,Mario Hezonja (11532725),Mario Hezonja,11532725,SF/PF/F/UTIL,4000,BKN@NY 10/29/2018 07:30PM ET,NY,15.83
SG/SF,Allen Crabbe (11532729),Allen Crabbe,11532729,SG/SF/F/G/UTIL,4000,BKN@NY 10/29/2018 07:30PM ET,BKN,15.7
C,Pau Gasol (11532734),Pau Gasol,11532734,C/UTIL,4000,DAL@SA 10/29/2018 08:30PM ET,SA,19.65
PG/SG,Derrick White (11532736),Derrick White,11532736,PG/SG/G/UTIL,4000,DAL@SA 10/29/2018 08:30PM ET,SA,0
