Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Troy Brown (11506830),Troy Brown,11506830,SG/SF/F/G/UTIL,3000,WAS@GS 10/24/2018 10:30PM ET,WAS,0
SG/SF,Damion Lee (11506835),Damion Lee,11506835,SG/SF/F/G/UTIL,3000,WAS@GS 10/24/2018 10:30PM ET,GS,0
PF,Marcus Derrickson (11506840),Marcus Derrickson,11506840,PF/F/UTIL,3000,WAS@GS 10/24/2018 10:30PM ET,GS,0
SG/SF,Jacob Evans III (11506843),Jacob Evans III,11506843,SG/SF/F/G/UTIL,3000,WAS@GS 10/24/2018 10:30PM ET,GS,4.75
SF/PF,Anthony Tolliver (11506693),Anthony Tolliver,11506693,SF/PF/F/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,MIN,10.25
PG/SG,Jordan Loyd (11506848),Jordan Loyd,11506848,PG/SG/G/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,TOR,0
PG,Lorenzo Brown (11506852),Lorenzo Brown,11506852,PG/G/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,TOR,2.33
PF/C,Chris Boucher (11506855),Chris Boucher,11506855,PF/C/F/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,TOR,0
SG,Malachi Richardson (11506859),Malachi Richardson,11506859,SG/G/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,TOR,3.5
C,Justin Patton (11506862),Justin Patton,11506862,C/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,MIN,0
SF/PF,Luol Deng (11506864),Luol Deng,11506864,SF/PF/F/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,MIN,0
SG/SF,C.J. Williams (11506868),C.J. Williams,11506868,SG/SF/F/G/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,MIN,-1
SG/SF,James Nunnally (11506873),James Nunnally,11506873,SG/SF/F/G/UTIL,3000,MIN@TOR 10/24/2018 07:30PM ET,MIN,0
