Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
42,1226014590,Jeremyscott,0,175.5,QB Carson Wentz RB Todd Gurley II FLEX Tarik Cohen RB Nick Chubb WR Robert Woods WR DeSean Jackson WR Michael Crabtree TE Trey Burton DST Colts ,,Carson Wentz,QB,4.01%,22.7
42,1228319777,kcdaren,0,175.5,QB Jameis Winston FLEX James White RB Tarik Cohen RB Latavius Murray WR Mike Evans WR Julian Edelman WR Taylor Gabriel TE David Njoku DST Colts ,,Ravens ,DST,3.70%,3
44,1230256890,Jtlasers,0,175.36,QB Cam Newton RB Todd Gurley II RB Nick Chubb WR Adam Thielen WR Alshon Jeffery FLEX Josh Gordon WR Willie Snead IV TE O.J. Howard DST Patriots ,,Stefon Diggs,FLEX,3.70%,10.6
45,1230927474,jdjenkins76,0,174.92,QB Mitchell Trubisky RB Todd Gurley II FLEX Alex Collins RB Marlon Mack WR John Brown WR Taylor Gabriel WR Antonio Callaway TE Zach Ertz DST Jaguars ,,LeSean McCoy,RB,3.43%,0.1
46,1223250378,lenny1414,0,174.6,QB Baker Mayfield RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Adam Thielen WR Josh Gordon WR Willie Snead IV TE David Njoku DST Colts ,,Christian McCaffrey,FLEX,3.04%,14
47,1231764786,jhungaski,0,174.52,QB Mitchell Trubisky RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Adam Thielen WR Robert Woods WR Willie Snead IV TE David Njoku DST Panthers ,,Kirk Cousins,QB,2.86%,17.54
48,1223690679,WolfgangMiller,0,174.36,QB Cam Newton RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Adam Thielen WR Josh Gordon WR Willie Snead IV TE David Njoku DST Texans ,,Devin Funchess,WR,2.64%,18.2
48,1230408565,DrBelve,0,174.36,QB Cam Newton RB Todd Gurley II FLEX Tarik Cohen RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Willie Snead IV TE David Njoku DST Texans ,,Chris Godwin,WR,2.60%,10.9
50,1226705898,seb3.0,0,173.96,QB Cam Newton RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Adam Thielen WR Devin Funchess WR Jermaine Kearse TE David Njoku DST Colts ,,Josh Reynolds,WR,2.51%,2.9
51,1230935267,msharp,0,173.42,QB Mitchell Trubisky FLEX James White RB Sony Michel RB Alex Collins WR Adam Thielen WR DeAndre Hopkins WR Robby Anderson TE Trey Burton DST Redskins ,,Sony Michel,RB,2.38%,3.5
52,1224714832,Dwalin,0,173.4,QB Carson Wentz RB Sony Michel RB Alex Collins WR Adam Thielen WR John Brown WR Taylor Gabriel TE Zach Ertz FLEX Trey Burton DST Colts ,,Rams ,DST,2.38%,23
53,1229155221,Smoke_Dat_Skin_Wagon,0,173.26,QB Joe Flacco RB Todd Gurley II RB Nick Chubb WR Adam Thielen FLEX John Brown WR Taylor Gabriel WR Chris Godwin TE David Njoku DST Colts ,,Panthers ,DST,2.33%,7
54,1231230127,chalk,0,172.98,QB Jared Goff FLEX Todd Gurley II RB Kerryon Johnson RB Nick Chubb WR Robert Woods WR John Brown WR Josh Gordon TE David Njoku DST Texans ,,Blake Bortles,QB,2.24%,3.44
55,1229076327,gbritt9770,0,172.86,QB Joe Flacco FLEX Todd Gurley II RB Kerryon Johnson RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Taylor Gabriel TE David Njoku DST Colts ,,DeAndre Hopkins,WR,2.24%,14
56,1228736212,rgonzalez9789,0,172.8,QB Baker Mayfield RB Todd Gurley II RB Nick Chubb WR Brandin Cooks WR John Brown FLEX Josh Gordon WR Taylor Gabriel TE David Njoku DST Rams ,,Tom Brady,QB,2.16%,22.68
57,1223734237,EAsince1990,0,172.78,QB Tom Brady RB Todd Gurley II RB Kenyan Drake FLEX Nick Chubb WR Robert Woods WR Josh Gordon WR Devin Funchess TE David Njoku DST Rams ,,Jordan Reed,TE,2.07%,6.3
58,1223680355,BigMacSmack1,0,172.66,QB Cam Newton RB Todd Gurley II RB Nick Chubb WR Adam Thielen FLEX T.Y. Hilton WR Taylor Gabriel WR Kelvin Benjamin TE David Njoku DST Rams ,,Damion Ratley,WR,1.94%,5.3
58,1230611956,Atlmaverick08,0,172.66,QB Joe Flacco RB Christian McCaffrey RB Kerryon Johnson WR Adam Thielen FLEX John Brown WR Josh Gordon WR Michael Crabtree TE David Njoku DST Texans ,,George Kittle,TE,1.94%,20.8
60,1228636852,OCooks,0,172.5,QB Carson Wentz FLEX Ezekiel Elliott RB Kerryon Johnson RB Nick Chubb WR Jarvis Landry WR Robert Woods WR John Brown TE David Njoku DST Rams ,,Keke Coutee,WR,1.76%,1.3
61,1227735694,tww1235,0,172.42,QB Mitchell Trubisky RB James White RB Tarik Cohen WR Adam Thielen WR Robert Woods FLEX Alshon Jeffery WR Willie Snead IV TE David Njoku DST Bills ,,Vikings ,DST,1.76%,12
62,1231735640,robrob81,0,172.26,QB Cam Newton RB Todd Gurley II FLEX Tarik Cohen RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Chester Rogers TE O.J. Howard DST Texans ,,Trey Burton,TE,1.76%,30.6
63,1229732391,seankozy,0,172.06,QB Cam Newton RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Adam Thielen WR Devin Funchess WR Willie Snead IV TE O.J. Howard DST Texans ,,Michael Thomas,FLEX,1.67%,19.9
64,1230110583,cckell06,0,172.02,QB Mitchell Trubisky RB Todd Gurley II RB Peyton Barber WR Adam Thielen WR Jarvis Landry WR Taylor Gabriel FLEX Torrey Smith TE Trey Burton DST Saints ,,Mike Evans,WR,1.63%,20.7
65,1230379419,jsmith6598,0,171.86,QB Cam Newton RB Todd Gurley II RB Tarik Cohen FLEX Kerryon Johnson WR Adam Thielen WR Taylor Gabriel WR Willie Snead IV TE David Njoku DST Texans ,,Alvin Kamara,FLEX,1.63%,15.5
66,1228236356,mdressler,0,171.58,QB Drew Brees RB Todd Gurley II FLEX Tarik Cohen RB Kerryon Johnson WR Robert Woods WR John Brown WR Josh Gordon TE David Njoku DST Lions ,,Dolphins ,DST,1.58%,0
67,1231866145,sgb75,0,171.46,QB Cam Newton RB Tarik Cohen RB Nick Chubb WR Adam Thielen WR Brandin Cooks FLEX Josh Gordon WR Willie Snead IV TE Zach Ertz DST Texans ,,James White,RB,1.50%,29.7
67,1228831401,MegatronismyHomeboy,0,171.46,QB Joe Flacco RB Todd Gurley II RB Kenyan Drake FLEX Kerryon Johnson WR Adam Thielen WR Taylor Gabriel WR Chris Godwin TE David Njoku DST Colts ,,Drew Brees,QB,1.50%,16.78
67,1229659100,jwbarrett100,0,171.46,QB Cam Newton FLEX Todd Gurley II RB Tarik Cohen RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Devin Funchess TE O.J. Howard DST Ravens ,,Kyle Rudolph,TE,1.45%,2.6
70,1226580627,chicobigfoot,0,171.26,QB Joe Flacco RB Todd Gurley II RB Kenyan Drake WR Jarvis Landry WR DeSean Jackson WR John Brown FLEX Robby Anderson TE Trey Burton DST Bills ,,Eric Ebron,TE,1.36%,6.1
70,1230515966,jrockbc,0,171.26,QB Joe Flacco RB Todd Gurley II RB Tarik Cohen FLEX Kerryon Johnson WR Adam Thielen WR John Brown WR Chris Godwin TE Kyle Rudolph DST Lions ,,T.Y. Hilton,FLEX,1.19%,18.5
72,1224442160,Ch0sen0ne,0,171.22,QB Mitchell Trubisky RB Todd Gurley II RB Tarik Cohen FLEX Nick Chubb WR Adam Thielen WR Robert Woods WR Chris Hogan TE David Njoku DST Bills ,,Albert Wilson,WR,1.14%,6.6
73,1231432682,JBP126,0,170.56,QB Cam Newton FLEX Todd Gurley II RB Kerryon Johnson RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Devin Funchess TE David Njoku DST Bills ,,DeSean Jackson,FLEX,1.14%,11.3
74,1231882475,HarambeTheGoat,0,170.36,QB Cam Newton RB Todd Gurley II RB Tarik Cohen WR Alshon Jeffery FLEX Josh Gordon WR Devin Funchess WR Jermaine Kearse TE George Kittle DST Texans ,,Redskins ,DST,1.01%,15
74,1232105539,cgla10,0,170.36,QB Cam Newton FLEX Todd Gurley II RB Kerryon Johnson RB Nick Chubb WR Adam Thielen WR DeAndre Hopkins WR Jermaine Kearse TE David Njoku DST Patriots ,,T.J. Yeldon,FLEX,1.01%,17.8
76,1225278222,edmboy77,0,170.26,QB Cam Newton RB Todd Gurley II RB Nick Chubb WR Adam Thielen WR Josh Gordon FLEX Devin Funchess WR Willie Snead IV TE David Njoku DST Texans ,,Maurice Harris,WR,1.01%,5.2
76,1228113181,GinobiliFan,0,170.26,QB Cam Newton RB Todd Gurley II RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Devin Funchess FLEX Willie Snead IV TE David Njoku DST Texans ,,Bears ,DST,1.01%,3
76,1230008357,TopShelfBr4maBlu,0,170.26,QB Cam Newton RB Todd Gurley II RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Devin Funchess FLEX Willie Snead IV TE David Njoku DST Texans ,,Adrian Peterson,FLEX,1.01%,11.7
76,1231089940,ShawnHeem,0,170.26,QB Joe Flacco RB Todd Gurley II RB Nick Chubb WR Adam Thielen FLEX T.Y. Hilton WR John Brown WR Cole Beasley TE Kyle Rudolph DST Texans ,,Chester Rogers,FLEX,0.92%,8
80,1229857426,DeadlyTedly,0,170.12,QB Mitchell Trubisky RB Todd Gurley II RB Kerryon Johnson WR Adam Thielen WR Taylor Gabriel WR Chris Godwin FLEX Eric Ebron TE Trey Burton DST Bills ,,Browns ,DST,0.88%,14
