Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Terry Rozier (11564008) (LOCKED),Terry Rozier,11564008,PG/SG/G/UTIL,4700,Final,BOS,19.66
C,Alex Len (11564443) (LOCKED),Alex Len,11564443,C/UTIL,4700,Final,ATL,23.16
SF/PF,P.J. Tucker (11563831) (LOCKED),P.J. Tucker,11563831,SF/PF/F/UTIL,4600,Final,HOU,24.64
SG/SF,Bojan Bogdanovic (11563945) (LOCKED),Bojan Bogdanovic,11563945,SG/SF/F/G/UTIL,4500,Final,IND,19.61
C,Cody Zeller (11564059) (LOCKED),Cody Zeller,11564059,C/UTIL,4500,Final,CHA,20.94
PG/SG,Jordan Clarkson (11564124) (LOCKED),Jordan Clarkson,11564124,PG/SG/G/UTIL,4500,Final,CLE,22.66
PF/C,Derrick Favors (11564171) (LOCKED),Derrick Favors,11564171,PF/C/F/UTIL,4500,Final,UTA,23.07
SF/PF,Justise Winslow (11564403) (LOCKED),Justise Winslow,11564403,SF/PF/F/UTIL,4500,Final,MIA,21.75
C,Bam Adebayo (11564407) (LOCKED),Bam Adebayo,11564407,C/UTIL,4500,Final,MIA,18.04
PG,Darren Collison (11563950) (LOCKED),Darren Collison,11563950,PG/G/UTIL,4400,Final,IND,22.06
SG,Malik Monk (11564056) (LOCKED),Malik Monk,11564056,SG/G/UTIL,4400,Final,CHA,20.94
PG/SG,George Hill (11564113) (LOCKED),George Hill,11564113,PG/SG/G/UTIL,4400,Final,CLE,20.25
PF,Zach Collins (11564282) (LOCKED),Zach Collins,11564282,PF/F/UTIL,4400,In Progress,POR,22.88
SG,Josh Hart (11564337) (LOCKED),Josh Hart,11564337,SG/G/UTIL,4400,In Progress,LAL,24.06
SF/PF,Michael Kidd-Gilchrist (11564061) (LOCKED),Michael Kidd-Gilchrist,11564061,SF/PF/F/UTIL,4300,Final,CHA,22.42
SF/PF,Trey Lyles (11564229) (LOCKED),Trey Lyles,11564229,SF/PF/F/UTIL,4300,Final,DEN,21.06
PF/C,Dewayne Dedmon (11564445) (LOCKED),Dewayne Dedmon,11564445,PF/C/F/UTIL,4300,Final,ATL,20.95
PG/SG,Bryn Forbes (11564496) (LOCKED),Bryn Forbes,11564496,PG/SG/G/UTIL,4300,Final,SA,22.07
SF,DeAndre' Bembry (11564449) (LOCKED),DeAndre' Bembry,11564449,SF/F/UTIL,4200,Final,ATL,23.22
C,Pau Gasol (11564503) (LOCKED),Pau Gasol,11564503,C/UTIL,4200,Final,SA,21.11
SG/SF,Gerald Green (11563835) (LOCKED),Gerald Green,11563835,SG/SF/F/G/UTIL,4100,Final,HOU,14.75
PG,Tony Parker (11564069) (LOCKED),Tony Parker,11564069,PG/G/UTIL,4100,Final,CHA,19.78
PG/SG,Tyler Johnson (11564409) (LOCKED),Tyler Johnson,11564409,PG/SG/G/UTIL,4100,Final,MIA,17.54
SG/SF,Marco Belinelli (11564505) (LOCKED),Marco Belinelli,11564505,SG/SF/F/G/UTIL,4100,Final,SA,17.89
SG/SF,Denzel Valentine (11563895) (LOCKED),Denzel Valentine,11563895,SG/SF/F/G/UTIL,4000,Final,CHI,0
PG/SG,Marcus Smart (11564012) (LOCKED),Marcus Smart,11564012,PG/SG/G/UTIL,4000,Final,BOS,15.84
PG/SG,Dante Exum (11564175) (LOCKED),Dante Exum,11564175,PG/SG/G/UTIL,4000,Final,UTA,15.97
PG,Monte Morris (11564233) (LOCKED),Monte Morris,11564233,PG/G/UTIL,4000,Final,DEN,19.16
PG/SG,Lance Stephenson (11564343) (LOCKED),Lance Stephenson,11564343,PG/SG/G/UTIL,4000,In Progress,LAL,22.12
PG,Derrick White (11564500) (LOCKED),Derrick White,11564500,PG/G/UTIL,4000,Final,SA,0
SG/SF,James Ennis III (11563840) (LOCKED),James Ennis III,11563840,SG/SF/F/G/UTIL,3900,Final,HOU,12.25
PG/SG,Cameron Payne (11563900) (LOCKED),Cameron Payne,11563900,PG/SG/G/UTIL,3900,Final,CHI,19.08
PG,Cory Joseph (11563953) (LOCKED),Cory Joseph,11563953,PG/G/UTIL,3900,Final,IND,18.83
PG,Ryan Arcidiacono (11563904) (LOCKED),Ryan Arcidiacono,11563904,PG/G/UTIL,3800,Final,CHI,18.94
