Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Iman Shumpert (11540209),Iman Shumpert,11540209,SG/SF/F/G/UTIL,3700,SAC@ORL 10/30/2018 07:00PM ET,SAC,18.79
C,Ian Mahinmi (11540196),Ian Mahinmi,11540196,C/UTIL,3700,WAS@MEM 10/30/2018 08:00PM ET,WAS,12.05
PG/SG,Austin Rivers (11540198),Austin Rivers,11540198,PG/SG/G/UTIL,3700,WAS@MEM 10/30/2018 08:00PM ET,WAS,15.33
SG,Wayne Selden Jr. (11540202),Wayne Selden Jr.,11540202,SG/G/UTIL,3700,WAS@MEM 10/30/2018 08:00PM ET,MEM,13.5
C,Guillermo Hernangomez (11540226),Guillermo Hernangomez,11540226,C/UTIL,3600,MIA@CHA 10/30/2018 07:00PM ET,CHA,14.54
SG,MarShon Brooks (11540220),MarShon Brooks,11540220,SG/G/UTIL,3600,WAS@MEM 10/30/2018 08:00PM ET,MEM,12.38
PG,Michael Carter-Williams (11540223),Michael Carter-Williams,11540223,PG/G/UTIL,3600,POR@HOU 10/30/2018 08:00PM ET,HOU,13.65
PF/C,Patrick Patterson (11540214),Patrick Patterson,11540214,PF/C/F/UTIL,3600,LAC@OKC 10/30/2018 08:00PM ET,OKC,15.4
C,Boban Marjanovic (11540218),Boban Marjanovic,11540218,C/UTIL,3600,LAC@OKC 10/30/2018 08:00PM ET,LAC,15.17
PG/SG,Tyler Johnson (11540232),Tyler Johnson,11540232,PG/SG/G/UTIL,3500,MIA@CHA 10/30/2018 07:00PM ET,MIA,16.71
SF/PF,Chandler Parsons (11540236),Chandler Parsons,11540236,SF/PF/F/UTIL,3500,WAS@MEM 10/30/2018 08:00PM ET,MEM,9.83
PG,Shelvin Mack (11540250),Shelvin Mack,11540250,PG/G/UTIL,3500,WAS@MEM 10/30/2018 08:00PM ET,MEM,16.3
PF/C,Daniel Theis (11540228),Daniel Theis,11540228,PF/C/F/UTIL,3500,DET@BOS 10/30/2018 07:30PM ET,BOS,11.65
SG/SF,Nik Stauskas (11540240),Nik Stauskas,11540240,SG/SF/F/G/UTIL,3500,POR@HOU 10/30/2018 08:00PM ET,POR,18.83
PF/C,Marquese Chriss (11540253),Marquese Chriss,11540253,PF/C/F/UTIL,3500,POR@HOU 10/30/2018 08:00PM ET,HOU,0
SG/SF,Andre Roberson (11540245),Andre Roberson,11540245,SG/SF/F/G/UTIL,3500,LAC@OKC 10/30/2018 08:00PM ET,OKC,0
SF,Miles Bridges (11540257),Miles Bridges,11540257,SF/F/UTIL,3400,MIA@CHA 10/30/2018 07:00PM ET,CHA,17.42
SG/SF,Luke Kennard (11540260),Luke Kennard,11540260,SG/SF/F/G/UTIL,3400,DET@BOS 10/30/2018 07:30PM ET,DET,10.58
PG/SG,Delon Wright (11540265),Delon Wright,11540265,PG/SG/G/UTIL,3400,PHI@TOR 10/30/2018 07:30PM ET,TOR,5
SF,OG Anunoby (11540269),OG Anunoby,11540269,SF/F/UTIL,3400,PHI@TOR 10/30/2018 07:30PM ET,TOR,14.55
SG/SF,C.J. Miles (11540272),C.J. Miles,11540272,SG/SF/F/G/UTIL,3400,PHI@TOR 10/30/2018 07:30PM ET,TOR,9.96
PG/SG,T.J. McConnell (11540280),T.J. McConnell,11540280,PG/SG/G/UTIL,3400,PHI@TOR 10/30/2018 07:30PM ET,PHI,11.89
SG,Hamidou Diallo (11540277),Hamidou Diallo,11540277,SG/G/UTIL,3400,LAC@OKC 10/30/2018 08:00PM ET,OKC,13.62
PF/C,Channing Frye (11540287),Channing Frye,11540287,PF/C/F/UTIL,3300,ATL@CLE 10/30/2018 07:00PM ET,CLE,12
SG,J.R. Smith (11540317),J.R. Smith,11540317,SG/G/UTIL,3300,ATL@CLE 10/30/2018 07:00PM ET,CLE,5.25
PF,Omari Spellman (11540320),Omari Spellman,11540320,PF/F/UTIL,3300,ATL@CLE 10/30/2018 07:00PM ET,ATL,16.85
SG,Kevin Huerter (11540323),Kevin Huerter,11540323,SG/G/UTIL,3300,ATL@CLE 10/30/2018 07:00PM ET,ATL,14
SG/SF,Wayne Ellington (11540291),Wayne Ellington,11540291,SG/SF/F/G/UTIL,3300,MIA@CHA 10/30/2018 07:00PM ET,MIA,0
SF,Derrick Jones Jr. (11540296),Derrick Jones Jr.,11540296,SF/F/UTIL,3300,MIA@CHA 10/30/2018 07:00PM ET,MIA,20
PG,Jerian Grant (11540284),Jerian Grant,11540284,PG/G/UTIL,3300,SAC@ORL 10/30/2018 07:00PM ET,ORL,12.83
PG/SG,Yogi Ferrell (11540299),Yogi Ferrell,11540299,PG/SG/G/UTIL,3300,SAC@ORL 10/30/2018 07:00PM ET,SAC,11.54
SF/PF,Omri Casspi (11540326),Omri Casspi,11540326,SF/PF/F/UTIL,3300,WAS@MEM 10/30/2018 08:00PM ET,MEM,13.31
C,Zaza Pachulia (11540330),Zaza Pachulia,11540330,C/UTIL,3300,DET@BOS 10/30/2018 07:30PM ET,DET,15.2
PG/SG,Langston Galloway (11540335),Langston Galloway,11540335,PG/SG/G/UTIL,3300,DET@BOS 10/30/2018 07:30PM ET,DET,10.8
C,Greg Monroe (11540303),Greg Monroe,11540303,C/UTIL,3300,PHI@TOR 10/30/2018 07:30PM ET,TOR,5.5
PF/C,Mike Muscala (11540305),Mike Muscala,11540305,PF/C/F/UTIL,3300,PHI@TOR 10/30/2018 07:30PM ET,PHI,16.06
SF/PF,Moe Harkless (11540309),Moe Harkless,11540309,SF/PF/F/UTIL,3300,POR@HOU 10/30/2018 08:00PM ET,POR,14.6
