Curtis Samuel,WR,3700,0.0009,9.5,2.5675675675675675
Jarius Wright,FLEX,3300,0.0009,11.1,3.3636363636363638
Allen Hurns,WR,3400,0.0008,12.4,3.647058823529412
Neal Sterling,TE,2500,0.0008,0.0,0
Kyle Juszczyk,FLEX,3900,0.0007000000000000001,3.3,0.8461538461538461
Ronald Jones II,FLEX,3900,0.0007000000000000001,9.8,2.512820512820513
Jamaal Charles,RB,3000,0.0006,1.4,0.4666666666666666
James O'Shaughnessy,FLEX,2600,0.0006,0.0,0
Alfred Blue,RB,3700,0.0006,2.8,0.7567567567567567
Darren Fells,TE,2500,0.0005,0.0,0
Erik Swoope,FLEX,2500,0.0005,8.7,3.4799999999999995
Kendrick Bourne,WR,3500,0.0005,0.0,0
Jordan Akins,FLEX,2500,0.0005,0.0,0
Cooper Kupp,WR,6200,0.0004,0.0,0
Mike Gesicki,TE,2600,0.0004,7.4,2.8461538461538463
Michael Floyd,WR,3200,0.0004,3.0,0.9375
Nick Boyle,FLEX,2500,0.0004,1.8,0.72
Alfred Morris,RB,4600,0.0004,2.5,0.5434782608695653
Malcolm Brown,RB,4300,0.0003,8.1,1.8837209302325582
Andre Holmes,WR,3100,0.0003,2.3,0.7419354838709676
Jordan Thomas,TE,2500,0.0003,0.0,0
Maxx Williams,FLEX,2500,0.0003,0.1,0.04
Paul Richardson Jr.,WR,4200,0.0003,0.0,0
Jacquizz Rodgers,FLEX,3000,0.0003,2.9,0.9666666666666667
Josh Bellamy,WR,3000,0.0002,0.0,0
Rico Gathers,TE,2500,0.0002,0.0,0
Chris Moore,WR,3000,0.0002,3.3,1.0999999999999999
Trent Taylor,WR,4100,0.0002,1.6,0.39024390243902446
DeVante Parker,FLEX,3100,0.0002,0.0,0
Luke Willson,FLEX,2500,0.0002,2.8,1.1199999999999999
C.J. Anderson,RB,3500,0.0002,0.0,0
Brian Quick,WR,3000,0.0002,0.0,0
Ameer Abdullah,FLEX,3000,0.0002,2.3,0.7666666666666666
Jordan Wilkins,FLEX,3400,0.0002,6.4,1.8823529411764708
Chris Ivory,RB,3800,0.0002,13.6,3.5789473684210527
Rashard Higgins,FLEX,3900,0.0002,0.0,0
Leonard Fournette,RB,6000,0.0002,0.0,0
Austin Carr,WR,3000,0.0002,0.0,0
Andre Roberts,FLEX,3100,0.0002,4.1,1.3225806451612903
Brice Butler,WR,3000,0.0002,0.0,0
Ian Thomas,TE,2500,0.0002,0.0,0
Gus Edwards,RB,3000,0.0002,0.0,0
Ted Ginn Jr.,WR,4400,0.0001,0.0,0
Terrelle Pryor,WR,3800,0.0001,0.0,0
D.J. Chark Jr.,FLEX,3400,0.0001,7.1,2.088235294117647
Theo Riddick,RB,3800,0.0001,0.0,0
Mo Alie-Cox,TE,2500,0.0001,1.7,0.6799999999999999
KhaDarel Hodge,WR,3000,0.0001,0.0,0
C.J. Ham,FLEX,3200,0.0001,0.0,0
Taysom Hill,QB,4000,0.0001,2.5,0.625
Ryan Griffin,FLEX,2500,0.0001,0.0,0
Seth DeValve,TE,2500,0.0001,0.0,0
Jason Croom,TE,2500,0.0001,1.8,0.72
Garrett Celek,FLEX,2500,0.0001,0.0,0
Shelton Gibson,WR,3000,0.0001,0.0,0
Deonte Thompson,WR,3400,0.0001,0.0,0
Patrick Scales,TE,2500,0.0001,0.0,0
Jamison Crowder,WR,4500,0.0001,0.0,0
Tyrod Taylor,QB,4500,0.0001,0.0,0
Dontrell Hilliard,FLEX,3000,0.0001,0.0,0
Nathan Peterman,QB,4200,0.0001,0.0,0
Austin Seferian-Jenkins,TE,2700,0.0001,0.0,0
Samaje Perine,RB,3000,0.0001,0.2,0.06666666666666667
