Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Markelle Fultz (11557115) (LOCKED),Markelle Fultz,11557115,PG/SG/G/UTIL,4300,Final,PHI,21.72
SF/PF,Jerami Grant (11557106) (LOCKED),Jerami Grant,11557106,SF/PF/F/UTIL,4200,Final,OKC,20.83
PG/SG,Terry Rozier (11557122) (LOCKED),Terry Rozier,11557122,PG/SG/G/UTIL,4200,Final,BOS,19
SG,Malik Monk (11557126) (LOCKED),Malik Monk,11557126,SG/G/UTIL,4100,Final,CHA,20.25
PF,Zach Collins (11557119) (LOCKED),Zach Collins,11557119,PF/F/UTIL,4100,In Progress,POR,24.04
SG/SF,Evan Turner (11557129) (LOCKED),Evan Turner,11557129,SG/SF/F/G/UTIL,4100,In Progress,POR,23.54
C,Brook Lopez (11557147) (LOCKED),Brook Lopez,11557147,C/UTIL,4100,Final,MIL,21.61
PG/SG,Patrick Beverley (11557134) (LOCKED),Patrick Beverley,11557134,PG/SG/G/UTIL,4100,Final,LAC,20.82
C,Cody Zeller (11557141) (LOCKED),Cody Zeller,11557141,C/UTIL,4000,Final,CHA,21.12
SF/PF,Al-Farouq Aminu (11557143) (LOCKED),Al-Farouq Aminu,11557143,SF/PF/F/UTIL,4000,In Progress,POR,21.36
PG/SG,Marcus Smart (11557149) (LOCKED),Marcus Smart,11557149,PG/SG/G/UTIL,4000,Final,BOS,16.61
SF,DeAndre' Bembry (11557153) (LOCKED),DeAndre' Bembry,11557153,SF/F/UTIL,4000,Final,ATL,23.14
PG,Shai Gilgeous-Alexander (11557156) (LOCKED),Shai Gilgeous-Alexander,11557156,PG/G/UTIL,4000,Final,LAC,20.04
PG,Monte Morris (11557138) (LOCKED),Monte Morris,11557138,PG/G/UTIL,3900,Final,DEN,19.14
SF/PF,Marvin Williams (11557159) (LOCKED),Marvin Williams,11557159,SF/PF/F/UTIL,3900,Final,CHA,19.12
SF/PF,Michael Kidd-Gilchrist (11557163) (LOCKED),Michael Kidd-Gilchrist,11557163,SF/PF/F/UTIL,3900,Final,CHA,22.5
C,Nerlens Noel (11557167) (LOCKED),Nerlens Noel,11557167,C/UTIL,3900,Final,OKC,20.67
SG,Avery Bradley (11557179) (LOCKED),Avery Bradley,11557179,SG/G/UTIL,3900,Final,LAC,14.93
SG,Malik Beasley (11557169) (LOCKED),Malik Beasley,11557169,SG/G/UTIL,3800,Final,DEN,11.11
PG,Tony Parker (11557172) (LOCKED),Tony Parker,11557172,PG/G/UTIL,3800,Final,CHA,19.14
SF/PF,Wilson Chandler (11557175) (LOCKED),Wilson Chandler,11557175,SF/PF/F/UTIL,3800,Final,PHI,0
C,Boban Marjanovic (11557189) (LOCKED),Boban Marjanovic,11557189,C/UTIL,3800,Final,LAC,14.93
C,John Henson (11557182) (LOCKED),John Henson,11557182,C/UTIL,3700,Final,MIL,20.64
C,Aron Baynes (11557184) (LOCKED),Aron Baynes,11557184,C/UTIL,3700,Final,BOS,16.5
SF,Justin Jackson (11557186) (LOCKED),Justin Jackson,11557186,SF/F/UTIL,3700,Final,SAC,17
C,Guillermo Hernangomez (11557191) (LOCKED),Guillermo Hernangomez,11557191,C/UTIL,3600,Final,CHA,15.68
SG,Donte DiVincenzo (11557193) (LOCKED),Donte DiVincenzo,11557193,SG/G/UTIL,3600,Final,MIL,16.71
SG/SF,Iman Shumpert (11557196) (LOCKED),Iman Shumpert,11557196,SG/SF/F/G/UTIL,3600,Final,SAC,18.79
PG/SG,Jeremy Lin (11557201) (LOCKED),Jeremy Lin,11557201,PG/SG/G/UTIL,3600,Final,ATL,11.96
C,Marcin Gortat (11557205) (LOCKED),Marcin Gortat,11557205,C/UTIL,3600,Final,LAC,14.93
PF/C,Mason Plumlee (11557207) (LOCKED),Mason Plumlee,11557207,PF/C/F/UTIL,3500,Final,DEN,18.18
SF,Miles Bridges (11557211) (LOCKED),Miles Bridges,11557211,SF/F/UTIL,3500,Final,CHA,15.96
PF/C,Patrick Patterson (11557214) (LOCKED),Patrick Patterson,11557214,PF/C/F/UTIL,3500,Final,OKC,15
SG/SF,Andre Roberson (11557218) (LOCKED),Andre Roberson,11557218,SG/SF/F/G/UTIL,3500,Final,OKC,0
PG,Frank Jackson (11557223) (LOCKED),Frank Jackson,11557223,PG/G/UTIL,3500,In Progress,NO,9.6
SG/SF,Nik Stauskas (11557229) (LOCKED),Nik Stauskas,11557229,SG/SF/F/G/UTIL,3500,In Progress,POR,18.18
SG,Troy Williams (11557226) (LOCKED),Troy Williams,11557226,SG/G/UTIL,3500,Final,SAC,15.75
SG/SF,Alex Abrines (11557234) (LOCKED),Alex Abrines,11557234,SG/SF/F/G/UTIL,3400,Final,OKC,10.29
PG/SG,Tim Frazier (11557239) (LOCKED),Tim Frazier,11557239,PG/SG/G/UTIL,3400,In Progress,NO,11
SG/SF,Pat Connaughton (11557243) (LOCKED),Pat Connaughton,11557243,SG/SF/F/G/UTIL,3400,Final,MIL,14.81
